rep,loglik,nu0_true,nu0_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,theta
1,-242.05174344305806,1.0,1.1343112011751355,0.25,0.2532043323856902,1.0,1.0020599923537323,0.25,0.28675166095371457,49343.15827779069
2,-242.05189266181196,1.0,1.1320160494134335,0.25,0.2530959724205419,1.0,1.0017961190650566,0.25,0.286318113937734,49358.10172288281
3,-242.05176360199312,1.0,1.1338536516718725,0.25,0.2531810465666705,1.0,1.002050042754409,0.25,0.28665097179287335,49345.40830571279
4,-242.05177368230216,1.0,1.1338146480938496,0.25,0.2531694276279604,1.0,1.0019588443318064,0.25,0.2866523349440108,49347.8089150716
5,-242.05179598502582,1.0,1.1328497487631195,0.25,0.25313935128192355,1.0,1.0018894112848915,0.25,0.28648088816848866,49352.465808493434
6,-242.0517437968242,1.0,1.1341861214079576,0.25,0.25319957209040306,1.0,1.0020711104466213,0.25,0.28672702027790686,49343.53033392047
7,-242.05189548243698,1.0,1.133493991276968,0.25,0.25313827644735004,1.0,1.001963796877621,0.25,0.2865681958941869,49350.22847662133
8,-242.0517449197223,1.0,1.1343106800480938,0.25,0.25320460987991283,1.0,1.0020478931060863,0.25,0.2867542395421367,49343.34779004269
9,-242.05647220651645,1.0,1.1229834914991517,0.25,0.2526709485900905,1.0,1.0006153091352188,0.25,0.284626971247767,49419.30620188543
10,-248.52485027732473,1.0,0.8744065041897323,0.25,0.23707763147114133,1.0,0.9677925280423797,0.25,0.2258331456811649,51454.744583629246
11,-242.05176883078502,1.0,1.1334037320468502,0.25,0.2531626165322001,1.0,1.001921442138588,0.25,0.28658775181707014,49349.55446062932
12,-242.05287704766806,1.0,1.1288441582616389,0.25,0.25294636103058876,1.0,1.0012794712509376,0.25,0.2857277167096499,49380.895930087514
13,-242.05198894858586,1.0,1.1321588783020873,0.25,0.25309395061731166,1.0,1.001632345419677,0.25,0.286372387485861,49360.823193190125
14,-251.94114531457035,1.0,2.9836971119044104,0.25,0.2888696236280831,1.0,1.1107262201719563,0.25,0.440419984527821,44304.546246915736
15,-242.05178574378124,1.0,1.1331038348577551,0.25,0.253142842985953,1.0,1.0019185025169381,0.25,0.2865173314183359,49351.286268876276
