rep,loglik,nu_true,nu_est,T_true,T_est,theta
1,-165.92521738660912,1.0,0.9908620477839178,0.5,0.47656796415707203,2546.789163326571
2,-165.92521751072562,1.0,0.9908731848048308,0.5,0.47657558091707736,2546.7703115653844
3,-165.9252174502615,1.0,0.9908651394679345,0.5,0.47657689593852204,2546.77803406437
4,-165.92521738809663,1.0,0.9908611433656368,0.5,0.4765679585190924,2546.790164192874
5,-165.9252173883743,1.0,0.9908613137729357,0.5,0.47656788371472575,2546.790041222997
6,-165.9252173878234,1.0,0.9908605172975506,0.5,0.4765673738744043,2546.791359269147
7,-165.92521738814045,1.0,0.9908630663133937,0.5,0.4765692983581645,2546.7868877994615
8,-165.9252174094638,1.0,0.9908660992375345,0.5,0.4765690310262239,2546.7837790366466
9,-165.92521739117532,1.0,0.9908609704702016,0.5,0.47656820733076843,2546.7901394023356
10,-165.92521752426674,1.0,0.9908492082986422,0.5,0.47655904509094255,2546.811016515691
11,-165.92522895491533,1.0,0.9909246519774394,0.5,0.47669082799782947,2546.6139776877435
12,-165.9252175127444,1.0,0.9908534512704508,0.5,0.4765712824220741,2546.795760465219
13,-165.92521738619592,1.0,0.9908614316738109,0.5,0.4765680052144749,2546.789806307263
14,-165.92521776214414,1.0,0.9908790080564867,0.5,0.47658780775393234,2546.7533247248866
15,-165.9252202596519,1.0,0.9908150289739767,0.5,0.4765705483679088,2546.838709761058
16,-573.389016367887,1.0,24.794777889967936,0.5,0.0001,3678.4305792824784
17,-165.9252175144923,1.0,0.9908718477206935,0.5,0.47657945617985203,2546.7684325216546
18,-165.9252174634138,1.0,0.9908556032457237,0.5,0.4765581044092243,2546.8047876308865
19,-165.9252173918526,1.0,0.9908603840484741,0.5,0.4765663398031316,2546.7924003280577
21,-165.92521746123214,1.0,0.9908601353397334,0.5,0.47657545335777063,2546.7847924255184
22,-165.92521753429236,1.0,0.9908490910132605,0.5,0.4765636536574517,2546.8071599372565
23,-165.9252174577126,1.0,0.9908654229076586,0.5,0.4765774973863919,2546.7772017783527
24,-165.92521738516004,1.0,0.9908613515504112,0.5,0.4765679355861791,2546.7899547630395
25,-165.92521769584485,1.0,0.9908481366203343,0.5,0.47654846628364234,2546.8213460417264
26,-165.92521743595418,1.0,0.9908684158464776,0.5,0.47657476942596394,2546.7762650798018
27,-165.92521738825988,1.0,0.9908613894908925,0.5,0.47656791901359846,2546.7899273168905
28,-165.92521739115978,1.0,0.9908610656920768,0.5,0.47656781274636384,2546.7903757963104
29,-165.92521739998529,1.0,0.9908633202249054,0.5,0.4765723604243375,2546.783959974248
30,-165.92521739595387,1.0,0.9908599722600574,0.5,0.4765690060710954,2546.790547888313
31,-165.92521802235706,1.0,0.9908509334092229,0.5,0.47658421486197305,2546.78734907139
32,-165.92522019389654,1.0,0.9908884516319615,0.5,0.4766284207545221,2546.7078041240015
33,-165.92521824525065,1.0,0.9908785903407089,0.5,0.4765544861560935,2546.7826031446916
34,-165.92521807337192,1.0,0.9908874081550104,0.5,0.47657449870792495,2546.7555846341215
35,-165.92522754021007,1.0,0.9909224004662746,0.5,0.4766830177123699,2546.623210013837
36,-165.9252174603745,1.0,0.990864000627915,0.5,0.47657735362670745,2546.7788923808503
37,-165.92521754674215,1.0,0.9908620683366206,0.5,0.476580497918658,2546.7783010403823
38,-165.92521739233334,1.0,0.9908632135698794,0.5,0.4765699733471232,2546.786141880191
39,-165.92521739366842,1.0,0.9908612598513846,0.5,0.4765701259632638,2546.7881614005482
40,-165.92521738700205,1.0,0.9908610849221987,0.5,0.4765668901725231,2546.791152507413
41,-165.92521777041418,1.0,0.9908499009648964,0.5,0.4765457031636823,2546.821792856677
42,-165.92521739175294,1.0,0.990860047442602,0.5,0.47656488938571256,2546.794025413151
43,-165.92521738704312,1.0,0.9908607241754166,0.5,0.47656907562214146,2546.789659693613
44,-165.92521739325443,1.0,0.9908601637562124,0.5,0.47656741683062204,2546.791711455326
45,-165.92521748855353,1.0,0.9908509593938285,0.5,0.4765639255745277,2546.8048671920506
46,-165.92521743548707,1.0,0.9908594971995317,0.5,0.4765603203239398,2546.798582968677
47,-165.92521739013947,1.0,0.9908604214783588,0.5,0.4765669743252528,2546.791810344904
48,-165.9252207127554,1.0,0.990824111088116,0.5,0.47659018127446534,2546.8117290075384
49,-165.92521767577233,1.0,0.9908458794030077,0.5,0.47656720992846174,2546.8076211534376
50,-165.92521782952903,1.0,0.9908704895064264,0.5,0.476591839910095,2546.759218576931
51,-165.92521794507195,1.0,0.9908438280831543,0.5,0.4765739699178239,2546.8040339824206
