rep,loglik,nu_true,nu_est,T_true,T_est,theta
1,-249.1750431031469,1.0,1.0053206903209106,1.5,1.5143773881853524,248422.19980475912
2,-249.17504306058254,1.0,1.0053205712394262,1.5,1.5143775812632998,248422.209686935
3,-249.17504889863994,1.0,1.0053243941563599,1.5,1.5143897758858305,248421.222358727
4,-249.17504315612314,1.0,1.0053216796936695,1.5,1.5143794327335314,248421.98477041538
5,-249.17504383107735,1.0,1.005324015377606,1.5,1.5143839206815377,248421.48946639607
6,-249.17504310677032,1.0,1.0053204685316273,1.5,1.5143774633402363,248422.22857949176
7,-249.17504308257776,1.0,1.0053207951877736,1.5,1.514378066180231,248422.16021044267
8,-249.17504310900404,1.0,1.0053207247486897,1.5,1.5143772512256486,248422.19990080476
9,-249.17504313824247,1.0,1.0053207119702334,1.5,1.5143777308065849,248422.18425013984
10,-249.17504311400626,1.0,1.0053205080416785,1.5,1.5143775099442716,248422.22126400523
11,-249.17504310739605,1.0,1.005320290093583,1.5,1.5143773259927695,248422.25892975315
12,-249.17504312324672,1.0,1.005320406874137,1.5,1.5143779188243862,248422.22074547777
13,-249.17504319752334,1.0,1.0053203875102619,1.5,1.5143764566972298,248422.27675669242
14,-249.17504311263474,1.0,1.0053199919203393,1.5,1.514376492411102,248422.33165646717
15,-249.17504309041033,1.0,1.0053207040052428,1.5,1.5143778559715595,248422.18081852078
16,-249.1750440950018,1.0,1.0053166898309622,1.5,1.514371468458562,248422.98378635623
17,-249.17504307680792,1.0,1.0053203355674716,1.5,1.5143772377479285,248422.25567902284
18,-249.1750434158348,1.0,1.005318203796171,1.5,1.5143732721079282,248422.70299525876
19,-249.17504310092772,1.0,1.0053203014588388,1.5,1.5143774412306399,248422.2531132679
20,-249.17504308215575,1.0,1.005320308513834,1.5,1.5143772160389635,248422.26031722417
21,-249.17504308308344,1.0,1.0053205125979479,1.5,1.514377518629109,248422.22029920988
22,-249.1750432024819,1.0,1.0053211196624605,1.5,1.5143777297935463,248422.12636869648
23,-249.1750430884349,1.0,1.0053207371649124,1.5,1.5143779212362323,248422.17373164467
24,-249.17504398895835,1.0,1.0053244980532594,1.5,1.5143840609894779,248421.41578456078
25,-249.17504313441896,1.0,1.0053206113170032,1.5,1.5143776689420478,248422.20079841925
26,-249.17504311770972,1.0,1.005320253367319,1.5,1.5143768776073963,248422.28047896776
27,-249.1750431111832,1.0,1.0053205996314882,1.5,1.5143776741431798,248422.2022742155
28,-249.17504334755722,1.0,1.0053225117544702,1.5,1.5143814392279535,248421.79347146355
29,-249.1750448319217,1.0,1.0053152342913676,1.5,1.5143684055776983,248423.30214479307
30,-249.17504310584263,1.0,1.0053203800292763,1.5,1.5143773590412162,248422.2449498204
31,-249.1750430749089,1.0,1.0053210577997498,1.5,1.5143784864107177,248422.10759014022
32,-249.17504313002792,1.0,1.0053209531878182,1.5,1.5143781847135027,248422.13344854655
33,-249.17504311368975,1.0,1.005321173273667,1.5,1.514378794499279,248422.07996434017
34,-249.17504308588832,1.0,1.0053206990467267,1.5,1.5143778047144136,248422.18339264736
35,-249.17504335318154,1.0,1.0053184549364038,1.5,1.514373952132905,248422.64254560025
36,-249.1750430577158,1.0,1.0053208715139095,1.5,1.5143782319021248,248422.14332834168
37,-249.17504688465124,1.0,1.0053127183012225,1.5,1.5143644388395305,248423.80409370613
38,-249.17504308326897,1.0,1.0053203498326482,1.5,1.5143772717038648,248422.25242052393
39,-249.17504307744093,1.0,1.0053206457194621,1.5,1.5143779425341393,248422.18594605644
40,-249.17504308335265,1.0,1.0053204034457535,1.5,1.5143773318927534,248422.24261156755
41,-249.1750430774664,1.0,1.0053205246965664,1.5,1.5143774380182837,248422.22151996358
42,-249.17504312449455,1.0,1.0053213206474028,1.5,1.5143788688855189,248422.05631785217
43,-249.1750431056571,1.0,1.0053207342752706,1.5,1.514378038779244,248422.16985955404
44,-249.17504313325844,1.0,1.0053204100741657,1.5,1.5143774010272948,248422.2391528823
45,-249.1750431743858,1.0,1.005319232977918,1.5,1.5143755078214904,248422.47534236094
46,-249.17504310885852,1.0,1.005321020482559,1.5,1.5143783970949045,248422.11614999815
47,-249.17504319070213,1.0,1.0053209003264691,1.5,1.5143788924073995,248422.1151751383
48,-249.17504308313437,1.0,1.0053211808893032,1.5,1.5143787300803657,248422.0812293609
49,-249.17504639906474,1.0,1.0053232388509628,1.5,1.5143777556763118,248421.82435931324
50,-249.1750430987595,1.0,1.0053207635082824,1.5,1.5143784649363576,248422.15018277115
