rep,loglik,nu_true,nu_est,T_true,T_est,theta
1,-180.75608741222612,1.0,1.0224109099777907,1.0,1.0652539147165705,4838.993207881043
2,-180.75608751099577,1.0,1.0224026277065568,1.0,1.0652427346435298,4839.024546241996
3,-180.75608741968313,1.0,1.0224134851027578,1.0,1.0652571767440813,4838.983655710543
4,-180.75608741711537,1.0,1.0224116400128778,1.0,1.065254878720307,4838.990464785466
5,-180.75608752981145,1.0,1.0224036182183267,1.0,1.0652486356684372,4839.016716153892
6,-180.75608741749528,1.0,1.0224119046459763,1.0,1.0652550888522871,4838.989595037593
7,-180.7561039936939,1.0,1.0223124099683694,1.0,1.0651085406168876,4839.377038194766
8,-180.75608741585143,1.0,1.0224114843306948,1.0,1.0652546512979517,4838.991069353632
9,-180.7560874261547,1.0,1.0224125322190742,1.0,1.0652544152514347,4838.988580697067
10,-180.75608741731202,1.0,1.022411898112094,1.0,1.0652540002381172,4838.990585600117
11,-180.75608742192793,1.0,1.0224095131395083,1.0,1.0652513023154022,4838.999143306521
12,-180.75608778906872,1.0,1.0224124620053798,1.0,1.0652653850044957,4838.9789499001345
13,-180.75608742904535,1.0,1.0224134215641785,1.0,1.0652559539530568,4838.984913145262
14,-180.756087693238,1.0,1.0224249608263087,1.0,1.0652715447571173,4838.9412391456135
15,-180.7560875329327,1.0,1.022401437877621,1.0,1.0652426030890434,4839.027729426264
16,-180.7560874169795,1.0,1.0224112847593354,1.0,1.0652548184389647,4838.991433976883
17,-180.7560875844655,1.0,1.0224207568266577,1.0,1.0652682037920116,4838.955058242751
18,-180.7560874157538,1.0,1.022410536964446,1.0,1.0652539217715524,4838.994162621879
19,-180.7560874185943,1.0,1.0224126797861564,1.0,1.0652556799879396,4838.987069243258
20,-180.75608812655963,1.0,1.0224063445619362,1.0,1.0652617524990473,4838.997959808667
21,-180.75608923249908,1.0,1.0223744533138226,1.0,1.0652132835357082,4839.123479573885
22,-180.7560874286778,1.0,1.022413976779966,1.0,1.0652572399885702,4838.98233242743
23,-180.756087413211,1.0,1.022410253086078,1.0,1.065253460533122,4838.995306529451
24,-180.75611836056672,1.0,1.0224133887723608,1.0,1.0651672463890016,4839.064344840581
25,-180.75608793585056,1.0,1.022419141044827,1.0,1.0652739641392686,4838.954068870397
26,-180.75608742585433,1.0,1.022407962211284,1.0,1.0652505792567852,4839.003785811105
27,-180.75608741552213,1.0,1.0224106302357794,1.0,1.0652534206531912,4838.994370504587
28,-180.75608742930729,1.0,1.022410354460641,1.0,1.065251505183702,4838.996794294759
29,-180.75608742853058,1.0,1.0224085321054261,1.0,1.0652507106632925,4839.002200010447
30,-180.75608761856444,1.0,1.0224030822991814,1.0,1.0652390090727524,4839.026707374178
31,-180.75608753681985,1.0,1.0224193886209478,1.0,1.0652658561728625,4838.960682988877
32,-180.7560876603899,1.0,1.022410822346516,1.0,1.065261605026455,4838.9865551910225
33,-180.75608750585283,1.0,1.0224045543026008,1.0,1.06524361917191,4839.018791397442
34,-180.75608741524417,1.0,1.0224110621749625,1.0,1.0652539556813494,4838.992779174639
35,-180.75608743292906,1.0,1.0224139395760523,1.0,1.0652589088671855,4838.98093558463
36,-180.7560874835341,1.0,1.022404023191885,1.0,1.0652447435020205,4839.019154080457
37,-180.75608741843783,1.0,1.0224119139107544,1.0,1.065254703826344,4838.989915578434
38,-180.75608743600367,1.0,1.0224149745627484,1.0,1.0652588091113813,4838.978358277343
39,-180.75608741510501,1.0,1.0224110107461133,1.0,1.065253901556269,4838.992960018015
40,-180.75608753703412,1.0,1.022419792767444,1.0,1.0652623591055874,4838.962769661883
41,-180.75608780874833,1.0,1.0224280721438361,1.0,1.0652738549885346,4838.931157090831
42,-180.75608742318792,1.0,1.0224117739471408,1.0,1.0652538377491545,4838.991050801372
43,-180.756087421164,1.0,1.0224117012732465,1.0,1.065253860934395,4838.991217323523
44,-180.75608745534112,1.0,1.0224089859900851,1.0,1.0652546266373966,4838.997528032077
45,-180.75608741219492,1.0,1.0224098507937356,1.0,1.065251918838932,4838.997721913151
46,-180.75608741208134,1.0,1.0224116002156818,1.0,1.065255375282497,4838.990123177451
47,-180.75608741558966,1.0,1.0224111996643142,1.0,1.0652541467154308,4838.992254068244
48,-180.75609234694787,1.0,1.0224406486961248,1.0,1.0653197207441485,4838.857733945729
49,-180.7560874493778,1.0,1.02240932691634,1.0,1.0652548207156967,4838.99647610766
50,-180.756087689395,1.0,1.022423467009223,1.0,1.0652724462750829,4838.944281360693
