rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-239.089295114966,1.0,3.802709964684124,0.5,0.5786068092069055,1.0,0.5082796926462585,0.25,0.599849720020336,5e-05,0.00010100000386244834,2460.9758406024225
2,-232.51063823273665,1.0,1.024950975866202,0.5,0.4529834084322816,1.0,0.6890697289167199,0.25,0.2615633023428536,5e-05,0.00014858829689383865,2756.398694376264
3,-752.5672494952273,1.0,3.5114177927148087,0.5,1.365507475199233,1.0,2.2590025141202923,0.25,0.8206717455605795,5e-05,0.000101,1126.9070870373776
4,-1468.084521393239,1.0,0.8111519934440083,0.5,1.5340434562333702,1.0,0.7508335426423617,0.25,0.3186051690927825,5e-05,0.000101,1827.1208497481941
5,-1041.6211227508709,1.0,0.45667063811010716,0.5,0.4727195483941728,1.0,0.7244395569377899,0.25,0.202119451688255,5e-05,0.000101,3163.6228716810406
6,-275.39134078063444,1.0,0.7857419164298146,0.5,0.27502013537573206,1.0,0.846550489169094,0.25,0.05052984910600767,5e-05,0.000101,2828.792257543084
7,-579.3988502387563,1.0,0.6728316056287584,0.5,0.6675102499311864,1.0,0.4532464577789383,0.25,0.6710288759784414,5e-05,0.000101,2501.1829119125214
8,-390.9825451320424,1.0,0.9244911802641,0.5,0.34746447945111286,1.0,0.9212438177747415,0.25,0.17344554081150698,5e-05,0.000101,2852.5747940502624
9,-613.7353063664804,1.0,0.9076464668848234,0.5,0.30847913257396714,1.0,0.5455663729227361,0.25,0.08253054980050407,5e-05,0.00010100000000000002,2983.378781159574
10,-617.080509828494,1.0,2.388031402835034,0.5,1.0806435694190388,1.0,0.788915477485507,0.25,0.9068534826658441,5e-05,0.000101,1657.3592347565664
11,-344.13395412036533,1.0,0.45620565016988546,0.5,0.505178000788554,1.0,0.5560614688944506,0.25,0.0001,5e-05,0.00012504876464109797,3349.773010426087
12,-540.054680335112,1.0,0.2940730723481808,0.5,0.3573910957003995,1.0,0.3411322071150169,0.25,0.0825255793954288,5e-05,0.000101,4081.4052990735267
13,-755.6723513324232,1.0,0.8184896757322992,0.5,0.2805612909921682,1.0,0.2554301005120051,0.25,0.13784292293093828,5e-05,0.000101,3660.9559128372593
14,-870.012892693595,1.0,0.38539757404098646,0.5,0.19436952219386344,1.0,0.0001,0.25,0.22527953348382182,5e-05,0.00010099998845338648,5052.557321884337
15,-790.8151873716695,1.0,1.0022054475220155,0.5,0.2969806827617979,1.0,0.5452628265725736,0.25,0.07503490093826448,5e-05,0.000101,2905.9090005714797
16,-291.4725141961129,1.0,0.8017031916597257,0.5,0.21937627565361434,1.0,0.9598523554844761,0.25,0.02558275955163422,5e-05,0.0001489566748956702,2666.039924612745
17,-428.9030834606708,1.0,0.6118127171083649,0.5,0.3177913240164839,1.0,0.3540687148045909,0.25,0.24953578599030937,5e-05,0.000101,3714.6436090798306
18,-687.9202277752286,1.0,2.460823174502686,0.5,0.23549949596196892,1.0,1.3155992939505052,0.25,0.18190109174662833,5e-05,0.000101,2555.2650019849907
19,-607.1362506571496,1.0,2.5487769799839137,0.5,0.6874809608873353,1.0,2.629054870828146,0.25,0.22824762876317992,5e-05,0.00010099999999999999,1312.1982230013518
20,-875.787996223931,1.0,1.2874836905954608,0.5,0.7297576559692087,1.0,1.7337979613154761,0.25,0.0001,5e-05,0.0001010000450466368,1568.6618103304706
21,-819.6789130241473,1.0,1.9948703658797853,0.5,0.19712548868316224,1.0,0.350648573493863,0.25,0.21551858315909242,5e-05,0.000101,4173.938568797366
