rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-155.78717523370557,1.0,1.060732896520264,0.5,0.4864856966067443,1.0,1.016802601593313,0.5,0.47062480435375587,0.1,0.08844979201340036,2494.248674081318
2,-155.95920234528347,1.0,1.4149488083882538,0.5,0.5195141552898305,1.0,1.0332146706187504,0.5,0.6131871891601273,0.1,0.0810992539839065,2356.7431709757816
3,-155.7871115077449,1.0,1.0589952063275088,0.5,0.48622919533111597,1.0,1.0160775252386902,0.5,0.46993419400426484,0.1,0.0884936151425542,2495.592557929135
4,-155.78696594115397,1.0,1.0558361979938158,0.5,0.4857622526446209,1.0,1.0156912398273206,0.5,0.46823878478182296,0.1,0.08861699182443974,2497.5251017413343
5,-155.78809434564803,1.0,1.0376114208246097,0.5,0.4834748295535722,1.0,1.014317069263562,0.5,0.45869708972104795,0.1,0.08925567740705541,2507.444112971845
6,-155.78749672311756,1.0,1.0432015887253652,0.5,0.4843247808338465,1.0,1.0151381807248472,0.5,0.4616541379391318,0.1,0.08899926597220818,2503.8339036692905
7,-155.78927361103325,1.0,1.0787551898897245,0.5,0.48860999762792895,1.0,1.017172791434826,0.5,0.47998644295375253,0.1,0.08787290448829066,2485.4722127088166
8,-155.7874256129736,1.0,1.0443406615193487,0.5,0.4843495542062902,1.0,1.015684551637511,0.5,0.4619056207932265,0.1,0.08899135843724856,2503.2200839019415
9,-155.78725562207075,1.0,1.058575076136357,0.5,0.4861386238284325,1.0,1.0152045593649983,0.5,0.470040228986746,0.1,0.08846708216229089,2496.3621795539034
10,-155.78714016069654,1.0,1.0604302673073573,0.5,0.4863879062630403,1.0,1.016438333577834,0.5,0.4705244328956309,0.1,0.08845767485664038,2494.727106322457
11,-155.78711453521046,1.0,1.0594176777805022,0.5,0.4862627809698687,1.0,1.01634490126285,0.5,0.4700593691220289,0.1,0.0885063924032033,2495.2857844966493
12,-155.78697261868177,1.0,1.055766520545734,0.5,0.4857706951365802,1.0,1.0155386523224548,0.5,0.46827601416999387,0.1,0.08860669546956652,2497.6030727446046
13,-155.78700999528627,1.0,1.0513282491696234,0.5,0.48516368074568844,1.0,1.0150127351912106,0.5,0.46596390160667195,0.1,0.08875384483672805,2500.2145155512612
14,-155.78697087093997,1.0,1.0563350796492907,0.5,0.48586692315990554,1.0,1.0162086316612904,0.5,0.46835804922300667,0.1,0.08859950261818092,2496.9023053966657
15,-155.78956853146732,1.0,1.0804084060364578,0.5,0.4888423605276887,1.0,1.0172579243330135,0.5,0.48094356451988274,0.1,0.08783605360669355,2484.5769366973645
16,-156.0374867800552,1.0,1.5777612630913613,0.5,0.5287035348149265,1.0,1.0356689647007606,0.5,0.6572417802897712,0.1,0.0791874636432992,2318.7897268209317
17,-156.0266321073575,1.0,1.5533251869438736,0.5,0.5276752966030548,1.0,1.035426115153112,0.5,0.6514462541985989,0.1,0.07936813606730547,2323.4034224079032
18,-155.78901390726975,1.0,1.0331298397929456,0.5,0.48274064524498445,1.0,1.0144954299082352,0.5,0.4557131557080488,0.1,0.08941861065383501,2509.9694526844914
19,-155.7869650056875,1.0,1.0558627535194842,0.5,0.48576453323123103,1.0,1.0157712013593287,0.5,0.4682278982888128,0.1,0.08861506328106485,2497.4719284850785
20,-155.7869691610209,1.0,1.051259709405095,0.5,0.4851694269958708,1.0,1.0155065886802022,0.5,0.4657745917269096,0.1,0.08877200802280703,2499.9532146479723
21,-219.80407924168986,1.0,0.39756420819621846,0.5,0.463161856635199,1.0,0.0001,0.5,1.042487882890832,0.1,0.1032477170125174,3061.3345068815634
22,-155.78696502417978,1.0,1.0562607473226189,0.5,0.4858432083233245,1.0,1.0160870392516972,0.5,0.46834456936792,0.1,0.08860330117360067,2497.0366333192965
23,-155.7869641944696,1.0,1.0512449828472035,0.5,0.4852077062970468,1.0,1.0155739283866176,0.5,0.46579921749778197,0.1,0.08876933502361498,2499.8370055781334
24,-155.7869659963373,1.0,1.0558550270933156,0.5,0.48576363472425166,1.0,1.0156729063250247,0.5,0.46824740015795896,0.1,0.08861147327643822,2497.5262395909094
25,-156.3808453317862,1.0,3.5966163125441186,0.5,0.5773724948243522,1.0,1.0414468120210503,0.5,0.8911672861462513,0.1,0.07120487351079104,2137.1433306155504
26,-156.49546563270346,1.0,10.660521553304296,0.5,0.6035152759219924,1.0,1.0409595300216237,0.5,1.0202484367271802,0.1,0.06782327677445603,2048.5688289196078
