rep,loglik,nu_true,nu_est,nuBot_true,nuBot_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-25083.088778486734,1.0,0.5522389591363344,0.5,0.6427488912251128,1.0,1.2723198088006689,0.5,0.16641851317255876,5e-07,0.000101,249208.9556626583
2,-13185.227674913142,1.0,0.4258993247290138,0.5,0.3229144478956395,1.0,0.4988069952052664,0.5,0.192774449650773,5e-07,0.000101,369613.00288448797
3,-18944.94449718738,1.0,0.46780068643175104,0.5,0.27279183229346526,1.0,0.40652684337763506,0.5,0.2687101659801676,5e-07,0.00010025,398948.90146107227
4,-52869.57161501712,1.0,0.9140738693419536,0.5,0.18549958711612163,1.0,2.784121308293096,0.5,0.0001,5e-07,0.00010099999868493993,163783.3532449798
5,-16570.545283478008,1.0,2.137281776494112,0.5,0.3505388710296553,1.0,0.742295585529929,0.5,0.43896320522756643,5e-07,0.000101,293737.9425227299
6,-29059.49513109254,1.0,1.8219514345566623,0.5,0.3312757845931341,1.0,1.8733481282151068,0.5,0.27664727663282546,5e-07,0.00010100000000000002,218089.1325441533
7,-9706.170497513103,1.0,0.46454239321211205,0.5,0.3507370072725232,1.0,0.5882443595277753,0.5,0.30505229653197447,5e-07,0.00010100000000000002,348315.8950727552
8,-4332.893878123417,1.0,0.5446874429920028,0.5,0.35520950040054483,1.0,0.7243578372119317,0.5,0.21606684777318955,5e-07,0.000101,327884.8081541497
9,-293038.0044084438,1.0,2.2095336300236035,0.5,0.1451994428844739,1.0,1.1909123759516098,0.5,0.31607339908285886,5e-07,0.000101,379745.8522147456
10,-98070.41829768842,1.0,0.7745341071991299,0.5,1.5829830262429232,1.0,1.294770028307843,0.5,0.14196732302995493,5e-07,0.0001010004489436629,186389.5864904512
11,-34105.941814743644,1.0,1.8841179400647674,0.5,0.40459707324230443,1.0,2.9729718889464607,0.5,0.20740919518869158,5e-07,0.000101,158523.7737340098
12,-28616.935557690595,1.0,1.585298132324668,0.5,0.41386635331910626,1.0,1.6746375871594594,0.5,0.2487168665117965,5e-07,0.000101,207718.33295782027
13,-112521.19729235189,1.0,0.441196146152776,0.5,0.174717234636486,1.0,0.2705495086460636,0.5,0.3165897920690283,5e-07,0.000101,509885.7673572329
14,-18459.601234688358,1.0,0.33276933614366977,0.5,0.4131328699094367,1.0,0.5994440068620638,0.5,0.1865005601264135,5e-07,0.000101,354540.95205795247
15,-17015.761425660457,1.0,0.5470971308681347,0.5,0.6666786315756524,1.0,0.580200107015358,0.5,0.7602548967459309,5e-07,0.000101,240275.25326576573
16,-37694.990600584766,1.0,1.2318730112874512,0.5,0.3110956467872841,1.0,3.2536401381324658,0.5,0.03252249570914145,5e-07,0.000101,148563.3863499386
17,-90631.65078498796,1.0,0.40933444986803397,0.5,0.17976710073407196,1.0,0.5078852353919707,0.5,0.20300322815435798,5e-07,0.000101,466238.407951203
18,-14587.633817653757,1.0,1.1396997707730596,0.5,0.7756275773149535,1.0,0.8387007659184196,0.5,0.974293147833315,5e-07,0.000101,197980.04915311153
19,-222581.9933357857,1.0,0.3120937611758328,0.5,0.3568150253766552,1.0,0.8102266798829683,0.5,0.6978172257894882,5e-07,0.0001010006857204841,320212.7406170219
20,-8228.567146310881,1.0,0.6225361919693917,0.5,0.5675391267271198,1.0,0.6826347818057195,0.5,0.650031576790003,5e-07,0.000101,257542.57127828506
21,-4790.832899038731,1.0,0.8385065967532963,0.5,0.5322176026246869,1.0,0.9152880064810325,0.5,0.6078971340413444,5e-07,0.000101,249571.6666411403
22,-24001.60238652398,1.0,1.9621298670734284,0.5,0.37687790333121796,1.0,1.7755354012418418,0.5,0.4099147763585439,5e-07,0.00010175,222127.97221613894
23,-27316.226586110042,1.0,1.6255823867847303,0.5,1.055452108826332,1.0,0.877250680241216,0.5,1.6707186802639515,5e-07,0.000101,153044.9681275014
24,-48795.92679052274,1.0,0.41822862506845493,0.5,0.17462219830375106,1.0,1.2058071287431802,0.5,0.00010000000000000002,5e-07,0.00010099998757258755,313282.52290318673
25,-17746.15593866143,1.0,0.4261175416239881,0.5,0.4976857726994732,1.0,0.2034131018366794,0.5,1.0109605138196147,5e-07,0.00010100000000000002,285599.3919907804
26,-24959.31886576722,1.0,2.7905688491780816,0.5,1.0536790544796337,1.0,0.6199775165803724,0.5,2.180276765793668,5e-07,0.000101,149207.31690862647
27,-162502.10790643608,1.0,3.983812868164044,0.5,0.3209684173600319,1.0,0.4606898493446399,0.5,0.2809208604527562,5e-07,0.000101,308901.9317804221
28,-22460.09295867066,1.0,2.0954659116783376,0.5,0.3618466435655046,1.0,1.6184128226912249,0.5,0.3519558100366239,5e-07,0.000101,225843.50609761063
29,-19237.948913059394,1.0,0.5730104559654052,0.5,0.693631861403839,1.0,0.5223348216399762,0.5,0.8288808922164923,5e-07,0.000101,233919.39206226778
30,-158444.3171269964,1.0,0.4704508190054681,0.5,1.5964336461248343,1.0,0.8214135738762621,0.5,0.9797870302378816,5e-07,0.000101,149977.85452619314
31,-49280.79679895392,1.0,1.736459600546716,0.5,0.22314458413122693,1.0,1.1491104301741284,0.5,0.2093933730751875,5e-07,0.0001009999979428028,292183.0844827607
32,-9194.482085134478,1.0,0.3684845380940807,0.5,0.41393305122126955,1.0,0.30236600441358846,0.5,0.47079987401313894,5e-07,0.000101,340675.57234391646
33,-24118.547293559754,1.0,1.0957959445338228,0.5,0.26535749378384077,1.0,0.347339153137768,0.5,0.3915182850803874,5e-07,0.000101,391585.3162432444
34,-54611.58205688102,1.0,0.6609781340823203,0.5,0.18625290932893487,1.0,0.4140067047589209,0.5,0.17985083458629128,5e-07,0.000101,432998.82527588424
35,-516771.64526415267,1.0,2.7660447007041036,0.5,0.4390537422068049,1.0,0.4077282772683477,0.5,0.17843169217107085,5e-07,0.000101,257144.36852293112
36,-118331.76171600886,1.0,1.337628347745529,0.5,0.24715358527347298,1.0,0.2816613426900632,0.5,0.6498811310515624,5e-07,0.000101,414354.76263022836
37,-20557.14922340148,1.0,0.3728168739950002,0.5,0.37568987234572854,1.0,0.4115008491561335,0.5,0.2139652185039353,5e-07,0.000101,362611.73564681015
38,-320823.2858102386,1.0,1.1733017475184377,0.5,0.22506983823719245,1.0,2.577705100641109,0.5,0.31126427838235426,5e-07,0.000101,244657.6884165622
39,-36666.88667106353,1.0,3.120350761603753,0.5,0.6659952566021872,1.0,0.8397893538621196,0.5,1.564462330956255,5e-07,0.000101,197504.59044782197
40,-10838.294604691644,1.0,1.9771587266714405,0.5,0.655177893978551,1.0,1.9708351302092935,0.5,0.5589988333308354,5e-07,0.000101,171597.5293803493
41,-72000.91005687902,1.0,0.6544212007996506,0.5,0.8443940704991368,1.0,0.8466885151850136,0.5,1.7840994414188185,5e-07,0.00010100000000000002,175049.5928413825
42,-20154.409144813377,1.0,0.9127178366325549,0.5,0.4053901396236631,1.0,0.06339655782349671,0.5,0.9560797657859533,5e-07,0.000101,327429.9581006111
43,-22901.75215748204,1.0,2.0691980195989417,0.5,1.0178647408682238,1.0,0.7253019770247578,0.5,1.9035593226317906,5e-07,0.000101,154782.10335683182
44,-7615.008788033978,1.0,0.5074340577070833,0.5,0.35048373277705996,1.0,0.7054326213656138,0.5,0.14872849287925627,5e-07,0.000101,332282.3821671482
