rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,eij_true,eij_est,theta
1,-187.64015226720494,1.0,0.8996714393173799,0.5,0.6423042325466474,0.25,0.013818779640210457,0.01,0.010186034863494065,5297.28035697049
2,-187.8887679223617,1.0,0.8988243895458291,0.5,0.4772867011359012,0.25,0.1864951146878404,0.01,0.01,5290.249160939914
3,-187.5850461548764,1.0,0.8974970214225637,0.5,0.6466400260895413,0.25,0.01,0.01,0.01,5302.943373184167
4,-187.8835977523271,1.0,0.8987230340063411,0.5,0.5037841673029755,0.25,0.15930832686127447,0.01,0.01,5291.3789682568595
5,-187.63123208848936,1.0,0.8979660788647453,0.5,0.6353770086202618,0.25,0.02238157084408026,0.01,0.01001961577407264,5300.174551615528
6,-187.87564094456383,1.0,0.9001688724054343,0.5,0.3747166923213858,0.25,0.2918068163778818,0.01,0.010136008961131423,5283.041211260799
7,-187.76572862863298,1.0,0.8995688434227733,0.5,0.07790449361810986,0.25,0.5910565708790273,0.01,0.01,5282.059159531795
8,-187.7681836863012,1.0,0.8999316254920385,0.5,0.01,0.25,0.6586629889683974,0.01,0.010102655012859727,5281.400656033628
9,-187.6019451285892,1.0,0.8975621228975015,0.5,0.6469668869477099,0.25,0.01,0.01,0.01465992902877852,5302.344595995639
10,-187.7603249026829,1.0,0.8996145852064871,0.5,0.01,0.25,0.6591402900789086,0.01,0.01,5281.723332241659
11,-187.77636651163516,1.0,0.8996976174137993,0.5,0.1332893780256727,0.25,0.5356143667998622,0.01,0.01,5281.718997780807
12,-187.59365317814235,1.0,0.8975026748036639,0.5,0.6467652331104307,0.25,0.01,0.01,0.012413741135624838,5302.770661198835
13,-187.58580072294455,1.0,0.8975022661585778,0.5,0.6466814334659408,0.25,0.01,0.01,0.010214319285743767,5302.875940816497
14,-187.84315155208168,1.0,0.89999291030656,0.5,0.01735969769793867,0.25,0.654104487069225,0.01,0.011784054217939174,5277.850490467877
15,-187.59953000155912,1.0,0.8975956818043191,0.5,0.6469503718399405,0.25,0.01,0.01,0.014013211928897259,5302.267200962364
16,-187.7902230942073,1.0,0.9010221880109188,0.5,0.5960845614191003,0.25,0.06521706700726002,0.01,0.010034712516580885,5286.869333095762
17,-187.90095724620443,1.0,0.8989225703510461,0.5,0.452850244698742,0.25,0.21215702188696325,0.01,0.010244334706559133,5288.464007259937
18,-187.865234677165,1.0,0.903080291027934,0.5,0.2950999794597343,0.25,0.3759626037960568,0.01,0.010115988073040084,5269.056839697046
19,-187.86236419704767,1.0,0.9007717661637263,0.5,0.32711578102063776,0.25,0.3397306067678545,0.01,0.01008195829200529,5280.94653420728
20,-195.99200490570297,1.0,0.8444226430237006,0.5,0.2232386878138365,0.25,0.37919467367653464,0.01,0.010098098881781767,5535.182827620213
21,-187.7763401319686,1.0,0.8998268505998611,0.5,0.12746430403308193,0.25,0.5415315552722781,0.01,0.010032610906604242,5281.234416146846
22,-187.59869366801513,1.0,0.8976527892319754,0.5,0.6470507982538168,0.25,0.01,0.01,0.013779189963765856,5301.973850219255
23,-187.76032490618405,1.0,0.8996143900036433,0.5,0.01,0.25,0.6591401838245088,0.01,0.01,5281.724032243513
24,-187.84149906489137,1.0,0.9037068221851904,0.5,0.03248417117762199,0.25,0.6372999361884721,0.01,0.010139218047136038,5269.066360014359
25,-187.80091428072984,1.0,0.9016039874656608,0.5,0.1456724801653429,0.25,0.5241614315383879,0.01,0.01022947124723674,5275.028385294914
26,-187.62582119190967,1.0,0.8976733591694581,0.5,0.6474084247146686,0.25,0.01,0.01,0.020745210023083317,5301.468069442095
27,-187.5936131377968,1.0,0.895683007086695,0.5,0.6449726535376274,0.25,0.01,0.01,0.010451191131847247,5310.343695284169
28,-187.58895666266756,1.0,0.8975119518773297,0.5,0.6467150639677854,0.25,0.010000000000000002,0.01,0.011108470904993983,5302.805968012144
29,-187.93616522842268,1.0,0.8995496029259271,0.5,0.35555550842497047,0.25,0.31246043827174513,0.01,0.011501402118839236,5283.048702867115
30,-188.15441264896157,1.0,0.9097886298418754,0.5,0.4489829516348596,0.25,0.22297076145872693,0.01,0.010255883632244918,5248.4875050121345
31,-187.84257224531956,1.0,0.8991695309887898,0.5,0.24346821561214416,0.25,0.4246271444448146,0.01,0.010642637886102717,5284.177111104962
32,-188.05285382285336,1.0,0.9001924732997034,0.5,0.29975331656864346,0.25,0.3719877591624507,0.01,0.013926404651838198,5276.73019549568
33,-187.80482924792335,1.0,0.8969096882341286,0.5,0.1314282058904254,0.25,0.5339108996810661,0.01,0.010158671673414601,5294.294940083603
34,-187.68147868007554,1.0,0.8978581248670431,0.5,0.6482924872693053,0.25,0.01,0.01,0.03329626314041224,5299.82504591486
35,-187.78136353029225,1.0,0.8995773801973962,0.5,0.15358686637164315,0.25,0.5150996681235125,0.01,0.01,5282.320886229897
36,-187.8224772586853,1.0,0.8993673491803126,0.5,0.2713059827374262,0.25,0.3962013409163811,0.01,0.01,5284.2705509880425
37,-187.83921948586323,1.0,0.8989506619394301,0.5,0.5625129198189333,0.25,0.09879838596995441,0.01,0.010115530042701878,5292.8957215794835
38,-187.76029183105658,1.0,0.8996307263907235,0.5,0.011760124974073085,0.25,0.6573807044841002,0.01,0.01,5281.675410755202
39,-187.89234299423606,1.0,0.8991186678044155,0.5,0.48620029071023707,0.25,0.17781556171275198,0.01,0.010089633706068583,5289.09185697008
40,-187.58504654609453,1.0,0.8975078904883734,0.5,0.6466360213342737,0.25,0.01,0.01,0.01,5302.916782147008
41,-187.8757000651027,1.0,0.8951288433301526,0.5,0.5487158966295383,0.25,0.11079402869592053,0.01,0.010006563030196536,5306.320859332695
42,-187.6198048619101,1.0,0.8977781405916071,0.5,0.6474511771470117,0.25,0.01,0.01,0.019249646902192222,5301.107771649208
