rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-164.71247823119532,1.0,1.0286596188229533,1.0,0.9953719580603947,0.25,0.3496520573569541,0.1,0.09603340082119163,2372.3280712019596
2,-164.71244613129795,1.0,1.0288154185863057,1.0,0.9953990459687154,0.25,0.3498412498807569,0.1,0.09595828706975366,2372.043256359659
3,-164.712443052935,1.0,1.02873905517801,1.0,0.9953443940342573,0.25,0.34975813958814594,0.1,0.09596874210251599,2372.1943529816654
4,-164.713316711355,1.0,1.0280641043539247,1.0,0.9988872488785628,0.25,0.34381934742423415,0.1,0.09650869814043421,2373.948049336058
5,-164.71244792623344,1.0,1.0288520824814928,1.0,0.9954529031747338,0.25,0.34984376884662843,0.1,0.09594829926950346,2371.9740264272573
6,-164.71412128141006,1.0,1.029762895011537,1.0,0.9903055573196268,0.25,0.3581875880814539,0.1,0.0951485171533991,2369.627611843449
7,-164.7124420662035,1.0,1.0287834398366444,1.0,0.9954180372181664,0.25,0.3497719895378347,0.1,0.09597379103614787,2372.103672637025
8,-164.71244343590848,1.0,1.0287658724974584,1.0,0.9953762006160091,0.25,0.349766235045001,0.1,0.09595671296655227,2372.1441846621888
9,-164.71246448072668,1.0,1.0287612454988195,1.0,0.9955091912071395,0.25,0.3496212467827874,0.1,0.0960165537648287,2372.154877375221
10,-164.71250937005877,1.0,1.028688483183913,1.0,0.995788025280812,0.25,0.3490817146673639,0.1,0.09600054247571768,2372.344457202754
11,-164.71474933463736,1.0,1.028315628471319,1.0,1.002511001561286,0.25,0.34045670542288725,0.1,0.09703583882379944,2373.5068326045266
12,-164.71244162975887,1.0,1.0288230392253106,1.0,0.9954534015837223,0.25,0.3498039001878205,0.1,0.09596552305887394,2372.026734093995
13,-164.71244584470537,1.0,1.028764975708438,1.0,0.9954334138167347,0.25,0.34971836969832765,0.1,0.0959745258558043,2372.1418621641524
14,-164.71362137129648,1.0,1.0280191858476573,1.0,0.9998211286039052,0.25,0.34269400439216996,0.1,0.09670144141633999,2374.074490622289
15,-164.7124419096386,1.0,1.0287745948103608,1.0,0.9954032223179273,0.25,0.34978506608099785,0.1,0.09596121241026852,2372.115752773187
16,-164.71245277269992,1.0,1.0287377107657503,1.0,0.9952752619509178,0.25,0.34974136003310075,0.1,0.09594175234776238,2372.2278420027155
17,-164.71250967261562,1.0,1.0286860950207517,1.0,0.9959890501957164,0.25,0.34889545605597,0.1,0.09605655798205892,2372.341783507867
18,-164.71244476257667,1.0,1.0287552896659964,1.0,0.9953946187872296,0.25,0.3497578560203843,0.1,0.09598574169915902,2372.154662511632
