rep,loglik,nu_true,nu_est,T1_true,T1_est,T2_true,T2_est,dij_true,dij_est,theta
1,-9856.548098109746,1.0,1.4628733206684663,1.0,1.757411199083852,0.25,0.05776661508803934,5e-05,0.00010099997543920631,185220.9348927142
2,-50323.69788614586,1.0,0.4750143868087361,1.0,9.999999999999999e-05,0.25,0.6353408621164095,5e-05,0.00010099939406226527,417574.3130361611
3,-3102.246329276706,1.0,0.8258770432866402,1.0,0.546774576908592,0.25,0.44581854856121667,5e-05,0.00010100000000000002,291098.6668649007
4,-10767.122555763686,1.0,0.7754171735049925,1.0,0.6246469636472091,0.25,0.4627976705841771,5e-05,0.00010175,296919.44347034674
5,-68223.77133001576,1.0,0.40506199777040364,1.0,0.0001,0.25,0.48487829717206365,5e-05,0.0001009995871625966,461438.5735007846
6,-13057.222087233371,1.0,0.7664791561476905,1.0,0.3374404502733285,0.25,0.45123246173885284,5e-05,0.00010024999763151696,314320.95236165525
7,-322.5986999453344,1.0,0.9965231902307754,1.0,0.8666344677216254,0.25,0.39397260576850396,5e-05,0.0002811584842623658,250577.48227508756
8,-303.6347443141676,1.0,1.0072476706425788,1.0,1.2422843073649696,0.25,0.02156932651083909,5e-05,0.00013885005385349899,248939.69441884445
9,-79402.0361675247,1.0,0.4607268667134236,1.0,0.2730116925283838,0.25,0.09925154197831432,5e-05,0.000101,434515.0809293891
10,-2849.095073560551,1.0,0.8935763862404931,1.0,0.7282424142804084,0.25,0.2970532227473391,5e-05,0.000101,277105.39088732254
11,-24484.943417615483,1.0,0.5735359628662174,1.0,0.5875627542050564,0.25,0.08270443239330519,5e-05,0.000101,374863.1239743182
12,-3681.149428266901,1.0,1.172811337560644,1.0,1.2295031997897174,0.25,0.15666492331684065,5e-05,0.000101,224033.34183880538
13,-11515.569356269978,1.0,0.7538385814875439,1.0,0.4122871226918692,0.25,0.38397334934868904,5e-05,0.000101,316707.2456549977
14,-3541.95457662471,1.0,1.1472036526690947,1.0,1.1495931100121488,0.25,0.1947847699309081,5e-05,0.00010100000083995922,228379.49286495216
15,-13997.825767342521,1.0,1.150413039477022,1.0,1.6472381122363982,0.25,0.14226624072245422,5e-05,0.000101,213352.6474824494
16,-16107.986928250553,1.0,0.6932669900782846,1.0,0.5654712096792239,0.25,0.1563117332157791,5e-05,0.00010099999716811518,335658.19048698153
17,-507.3363408922196,1.0,0.9904306132721914,1.0,0.5720680638323593,0.25,0.6374603314850565,5e-05,0.00017217532209346477,253568.39902707224
18,-12679.571606061076,1.0,0.6753478080848234,1.0,0.7403292225590489,0.25,0.11475200685348166,5e-05,0.000101,333040.24669735075
19,-433.8349189608962,1.0,1.0440899767567273,1.0,1.177296476166719,0.25,0.15119222297412166,5e-05,0.00015404840378734191,241410.40129449824
20,-362.5116804395111,1.0,0.974437161423581,1.0,1.1927113560634517,0.25,0.03084495926326207,5e-05,0.0001710036333669185,255300.43476092958
21,-31577.7735686063,1.0,0.7313740693749362,1.0,0.45094288800247345,0.25,0.19794724834044422,5e-05,0.000101,330738.5885774033
22,-24115.104317974863,1.0,1.850944191278257,1.0,1.6755052496748029,0.25,1.0809625357781867,5e-05,0.00010099999700855758,144020.6612828084
23,-77441.8326070497,1.0,0.9221322956765303,1.0,1.3986552615920311,0.25,0.46121294271583013,5e-05,0.000101,240242.36116284534
24,-84387.38862359579,1.0,0.8917069620299829,1.0,1.3168403560915722,0.25,0.5113384020975101,5e-05,0.000101,245975.95200876618
25,-79180.36657197122,1.0,0.4815618359253321,1.0,0.5424187666017917,0.25,0.2522658894400654,5e-05,0.000101,406353.727705706
26,-88953.7946890686,1.0,0.9730037065808079,1.0,0.3903062028082201,0.25,0.24162251350216205,5e-05,0.000101,288162.1877087231
27,-32989.495194405376,1.0,1.553905143017116,1.0,2.570698921007255,0.25,0.07235130035534744,5e-05,0.000101,161449.06430971096
28,-22729.948185308393,1.0,0.6158675357890744,1.0,0.3166259669692447,0.25,0.3296721353921804,5e-05,0.00010100001476689024,362067.8116182074
29,-4188.027316170974,1.0,1.2540908629079164,1.0,1.5477248174044491,0.25,0.15067933415080909,5e-05,0.00011616464880931481,205625.32730534408
30,-12993.9900119515,1.0,1.5445889160067265,1.0,0.5544388881626867,0.25,1.6469383935507298,5e-05,0.00010099999775522058,170537.7995449752
31,-301.2200247325345,1.0,1.0025800509354557,1.0,1.0195914769376648,0.25,0.2377142077006099,5e-05,0.00016383815467128213,249858.56766081418
32,-300.84098489040116,1.0,1.0027842161637253,1.0,1.0981343257979284,0.25,0.15857186094949213,5e-05,0.0003233545599804054,249854.49030056436
